gwn,country_name,grids,multigroup_grids,multigroup_grids_percent
616,Tunisia,NA,NA,NA
640,Turkey,69460.0,3296,0.04745177080334005
701,Turkmenistan,62403.0,0,0.0
973,Tuvalu,NA,NA,NA
500,Uganda,17680.0,6166,0.34875565610859727
369,Ukraine,82944.0,10357,0.12486738040123457
696,United Arab Emirates,NA,NA,NA
200,United Kingdom,62118.0,1035,0.016661837148652565
2,United States,3358860.0,NA,NA
165,Uruguay,15093.0,0,0.0
704,Uzbekistan,83224.0,783,0.009408343746996058
935,Vanuatu,NA,NA,NA
101,Venezuela,90302.0,2110,0.023366038404465016
816,Vietnam,62480.0,5274,0.08441101152368757
678,Yemen,47190.0,11947,0.253168044077135
551,Zambia,66597.0,2854,0.04285478324849468
552,Zimbabwe,30644.0,15354,0.5010442500978984
